label	longitude	latitude	temperature	salinity	site_location	site_name
OSD1_2014-06-21_0m	-4.13	50.151	16.66	35.22	English Channel	L4
OSD10_2014-06-21_1m	-83.18995	41.839834	22.4	0.14		Lake Erie W4
OSD100_2014-06-22_1m	25.29	35.35	24.21	39.05	Aegean Sea	Crete - GOS
OSD100_2014-06-22_20m	25.29	35.35	23.13	39.11	Aegean Sea	Crete - GOS
OSD101_2014-06-21_0m	-16.711281	32.741808	20.5	37	North Atlantic Ocean	Quinta do Lorde
OSD102_2014-06-21_0m	-16.910158	32.64605	20.8	36	North Atlantic Ocean	Marina do Funchal
OSD103_2014-06-21_0m	-16.828664	32.7747	20.2	37	North Atlantic Ocean	Porto da Cruz
OSD105_2014-06-21_4.12m	-105.34339	69.023323	-0.72	26.91	Northwestern Passages	Cambridge Bay Nunavut
OSD106_2014-06-20_0m	-22.4192	65.9449	7.6	19	North Atlantic Ocean	REYKIS
OSD106_2014-06-20_15m	-22.4192	65.9449	7.5	29.2	North Atlantic Ocean	REYKIS
OSD107_2014-06-20_0m	-9.38011	39.14039	20.2	30	North Atlantic Ocean	Lisboa
OSD108_2014-06-20_0m	-8.966333	38.757283	20.1	30	North Atlantic Ocean	Alcochete
OSD109_2014-06-20_0m	-9.012392	38.676942	20.5	30	North Atlantic Ocean	Rosario
OSD110_2014-06-21_0m	-8.869328	40.145122	23	22.5	North Atlantic Ocean	Figueira da Foz
OSD111_2014-06-21_0m	-8.703761	40.659875	25.2	30	North Atlantic Ocean	Ria de Aveiro_1
OSD113_2014-06-21_39m	-9.4367	38.6667	18	35.27	North Atlantic Ocean	CascaisWatch
OSD114_2014-06-21_50m	-9.51	34.41	18.5	33.57	North Atlantic Ocean	BerlengasWatch
OSD115_2014-06-21_0m	-9.384778	39.134347	20.3	40	North Atlantic Ocean	Santa Cruz
OSD116_2014-06-21_0m	-9.218828	39.415067	24.7	22.5	North Atlantic Ocean	Lagoa
OSD117_2014-06-21_0m	-7.504	37.167	23.64	37.93	North Atlantic Ocean	Tavira Beach
OSD118_2014-06-24_0.2m	-8.3112	51.7423	18	38	Celtic Sea	Lough Hyne
OSD122_2014-06-22_0m	34.9291	29.4667	24	40.5	Gulf of Aqaba	Station A Gulf Of Eilat
OSD123_2014-06-22_4m	32.954	32.822	27	39.4	Mediterranean Sea - Eastern Basin	Shikmona
OSD124_2014-06-21_5m	135.12083	34.32444	21.15	33.19	Japan Sea	Osaka Bay
OSD125_2014-06-21_0m	-1.43278	55.03306	16.04	26.4	North Sea	Cullercoats Beach
OSD126_2014-06-21_1m	-18.19653	66.00691	12.2	42.3	Greenland Sea	Eyafjordur_1
OSD127_2014-06-21_10m	-18.19531	66.00776	11.24	59.7	Greenland Sea	Eyafjordur_2
OSD128_2014-06-21_1m	-18.0608	65.4886	12	14	Greenland Sea	Eyafjordur_3
OSD129_2014-06-21_10m	-18.101835	65.817186	9.9	61.5	Greenland Sea	Eyafjordur_4
OSD13_2014-06-21_0m	27.908643	43.175843	22.87	12.6	Black Sea	Varna Bay
OSD130_2014-06-21_1m	-18.7902	66.1316	10.1	48	Greenland Sea	Eyafjordur_5
OSD131_2014-06-21_1m	27.669	42.413806	22.5	14.3	Black Sea	Zlatna ribka
OSD132_2014-06-22_0.5m	34.843	32.0694	27.3	39.35	Mediterranean Sea - Eastern Basin	Sdot YAM
OSD133_2014-06-21_0m	18.386825	-33.897069	15.06	35.16	South Atlantic Ocean	Robben Island
OSD14_2014-06-23_2m	3.15	42.49	20.422	37.833	Mediterranean Sea - Western Basin	Banyuls
OSD141_2014-06-20_5m	5.11504	60.16121	10.13	30.67	North Sea	Raunefjorden
OSD142_2014-06-21_1m	-80.866685	31.383607	27.43	35.85	North Atlantic Ocean	Grays Reef National Marine Sanctuary
OSD143_2014-06-21_1m	-81.01667	31.98282	30.79	26.58	North Atlantic Ocean	Skidaway Institute of Oceanography
OSD144_2014-06-24_0m	-157.72231	21.26882	25.8	35	North Pacific Ocean	Maunalua Bay O'ahu
OSD145_2014-06-21_0m	3.118856	51.361369	17	100	North Sea	North Sea - Blankenberge
OSD146_2014-06-21_5m	-2.829667	78.453333	-1.61	33.78	Greenland Sea	Fram Strait
OSD147_2014-06-21_0m	81.0521	8.5216	28.8	33	Bay of Bengal	Rajarata
OSD148_2014-06-21_0m	8.148636	53.580926	17.77	31.14	North Sea	Wadden Sea
OSD149_2014-06-21_0m	-54.16	-34.37	10.98	14.3	South Atlantic Ocean	Laguna Rocha Norte
OSD15_2014-06-21_0m	7.31567	43.6861111	21.778	37.9702	Adriatic Sea	Villefranche - SOMLIT
OSD15_2014-06-21_50m	7.31567	43.6861111	16.0522	37.981	Adriatic Sea	Villefranche - SOMLIT
